Fetching data for NSE:DIXON-EQ from Mar 2025 to Dec 2025...
Total Fetched Candles: 25646

Running Backtest with Risk:Reward 1:8...

--- TRADES ---
ID    | Time                 | Action          | Price      | PnL        | Notes
1     | 2025-03-03 09:21:00  | ENTER SHORT     | 13924.00   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 94.30)
1     | 2025-03-03 13:12:00  | EXIT (SL)       | 14018.30   | -94.30     | SL Hit (High 14250 >= SL 14018.30)
2     | 2025-03-04 09:15:00  | ENTER SHORT     | 13831.50   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 98.80)
2     | 2025-03-04 09:18:00  | EXIT (SL)       | 13930.30   | -98.80     | SL Hit (High 13999.9 >= SL 13930.30)
3     | 2025-03-04 10:27:00  | ENTER SHORT     | 14090.00   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 53.80)
3     | 2025-03-04 10:36:00  | EXIT (SL)       | 14143.80   | -53.80     | SL Hit (High 14144.8 >= SL 14143.80)
4     | 2025-03-04 12:57:00  | ENTER SHORT     | 14128.90   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 38.30)
4     | 2025-03-04 13:18:00  | EXIT (SL)       | 14167.20   | -38.30     | SL Hit (High 14169 >= SL 14167.20)
5     | 2025-03-04 14:06:00  | ENTER LONG      | 14168.90   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 27.90)
5     | 2025-03-04 15:00:00  | EXIT (Square Off) | 14229.80   | 60.90      | Auto Square Off at 15:00
6     | 2025-03-05 09:15:00  | ENTER SHORT     | 14174.90   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 100.10)
6     | 2025-03-05 09:27:00  | EXIT (SL)       | 14275.00   | -100.10    | SL Hit (High 14319.1 >= SL 14275.00)
7     | 2025-03-05 09:33:00  | ENTER SHORT     | 14231.00   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 42.80)
7     | 2025-03-05 09:39:00  | EXIT (SL)       | 14273.80   | -42.80     | SL Hit (High 14282.35 >= SL 14273.80)
8     | 2025-03-05 10:00:00  | ENTER SHORT     | 14261.90   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 29.05)
8     | 2025-03-05 10:06:00  | EXIT (SL)       | 14290.95   | -29.05     | SL Hit (High 14340 >= SL 14290.95)
