Fetching data for NSE:DIXON-EQ from Dec 11, 2025 to Jan 31, 2026...
Fetching 2025-12-11 to 2025-12-31...
  Fetched 1750 candles.
Fetching 2026-01-01 to 2026-01-31...
  Fetched 2500 candles.
Total Fetched Candles: 4250

--- TRADES ---
ID    | Time                 | Action          | Price      | PnL        | Notes
1     | 2025-12-11 09:18:00  | ENTER LONG      | 12312.00   | 0.00       | Fresh Entry (Close 12312 > VWAP 12225.48)
1     | 2025-12-11 15:00:00  | EXIT (Square Off) | 12951.00   | 639.00     | Auto Square Off at 15:00:00
2     | 2025-12-12 09:15:00  | ENTER SHORT     | 13050.00   | 0.00       | Fresh Entry (Close 13050 < VWAP 13056.00)
2     | 2025-12-12 09:18:00  | EXIT (Reversal) | 13067.00   | -17.00     | Reversed to LONG
3     | 2025-12-12 09:18:00  | ENTER LONG      | 13067.00   | 0.00       | Reversal Entry (Close 13067 > VWAP 13058.15)
3     | 2025-12-12 10:06:00  | EXIT (SL)       | 13159.00   | 92.00      | SL Hit (Close 13159 <= SL 13170.40)
4     | 2025-12-12 10:06:00  | ENTER SHORT     | 13159.00   | 0.00       | SL Reversal Entry
4     | 2025-12-12 10:09:00  | EXIT (Reversal) | 13177.00   | -18.00     | Reversed to LONG
5     | 2025-12-12 10:09:00  | ENTER LONG      | 13177.00   | 0.00       | Reversal Entry (Close 13177 > VWAP 13170.43)
5     | 2025-12-12 10:12:00  | EXIT (Reversal) | 13167.00   | -10.00     | Reversed to SHORT
6     | 2025-12-12 10:12:00  | ENTER SHORT     | 13167.00   | 0.00       | Reversal Entry (Close 13167 < VWAP 13170.28)
6     | 2025-12-12 10:18:00  | EXIT (SL)       | 13178.00   | -11.00     | SL Hit (Close 13178 >= SL 13174.00)
7     | 2025-12-12 10:18:00  | ENTER LONG      | 13178.00   | 0.00       | SL Reversal Entry
7     | 2025-12-12 10:21:00  | EXIT (Reversal) | 13165.00   | -13.00     | Reversed to SHORT
8     | 2025-12-12 10:21:00  | ENTER SHORT     | 13165.00   | 0.00       | Reversal Entry (Close 13165 < VWAP 13170.57)
8     | 2025-12-12 10:27:00  | EXIT (Reversal) | 13182.00   | -17.00     | Reversed to LONG
9     | 2025-12-12 10:27:00  | ENTER LONG      | 13182.00   | 0.00       | Reversal Entry (Close 13182 > VWAP 13169.90)
9     | 2025-12-12 12:39:00  | EXIT (SL)       | 13223.00   | 41.00      | SL Hit (Close 13223 <= SL 13240.16)
