Fetching data for NSE:DIXON-EQ from 2026-01-01 to 2026-01-31...
Fetched 2500 candles.

--- TRADES ---
ID    | Time                 | Action          | Price      | PnL        | Notes
1     | 2026-01-01 09:18:00  | ENTER LONG      | 12158.00   | 0.00       | Fresh Entry (Close 12158 > VWAP 12148.52)
1     | 2026-01-01 09:21:00  | EXIT (SL)       | 12120.00   | -38.00     | SL Hit (Close 12120 <= SL 12136.00)
2     | 2026-01-01 09:21:00  | ENTER SHORT     | 12120.00   | 0.00       | SL Reversal Entry
2     | 2026-01-01 14:51:00  | EXIT (SL)       | 11945.00   | 175.00     | SL Hit (Close 11945 >= SL 11934.57)
3     | 2026-01-01 14:51:00  | ENTER LONG      | 11945.00   | 0.00       | SL Reversal Entry
3     | 2026-01-01 15:00:00  | EXIT (Square Off) | 11986.00   | 41.00      | Auto Square Off at 15:00:00
4     | 2026-01-02 09:15:00  | ENTER LONG      | 12225.00   | 0.00       | Fresh Entry (Close 12225 > VWAP 12217.67)
4     | 2026-01-02 09:21:00  | EXIT (Reversal) | 12208.00   | -17.00     | Reversed to SHORT
5     | 2026-01-02 09:21:00  | ENTER SHORT     | 12208.00   | 0.00       | Reversal Entry (Close 12208 < VWAP 12221.91)
5     | 2026-01-02 09:27:00  | EXIT (SL)       | 12264.00   | -56.00     | SL Hit (Close 12264 >= SL 12228.00)
6     | 2026-01-02 09:27:00  | ENTER LONG      | 12264.00   | 0.00       | SL Reversal Entry
6     | 2026-01-02 09:33:00  | EXIT (Reversal) | 12218.00   | -46.00     | Reversed to SHORT
7     | 2026-01-02 09:33:00  | ENTER SHORT     | 12218.00   | 0.00       | Reversal Entry (Close 12218 < VWAP 12232.37)
7     | 2026-01-02 10:12:00  | EXIT (SL)       | 12231.00   | -13.00     | SL Hit (Close 12231 >= SL 12213.91)
8     | 2026-01-02 10:12:00  | ENTER LONG      | 12231.00   | 0.00       | SL Reversal Entry
8     | 2026-01-02 10:15:00  | EXIT (Reversal) | 12211.00   | -20.00     | Reversed to SHORT
9     | 2026-01-02 10:15:00  | ENTER SHORT     | 12211.00   | 0.00       | Reversal Entry (Close 12211 < VWAP 12214.21)
9     | 2026-01-02 10:24:00  | EXIT (Reversal) | 12226.00   | -15.00     | Reversed to LONG
10    | 2026-01-02 10:24:00  | ENTER LONG      | 12226.00   | 0.00       | Reversal Entry (Close 12226 > VWAP 12214.11)
10    | 2026-01-02 10:51:00  | EXIT (SL)       | 12184.00   | -42.00     | SL Hit (Close 12184 <= SL 12218.13)
11    | 2026-01-02 10:51:00  | ENTER SHORT     | 12184.00   | 0.00       | SL Reversal Entry
11    | 2026-01-02 12:24:00  | EXIT (SL)       | 12195.00   | -11.00     | SL Hit (Close 12195 >= SL 12191.43)
12    | 2026-01-02 12:24:00  | ENTER LONG      | 12195.00   | 0.00       | SL Reversal Entry
12    | 2026-01-02 12:27:00  | EXIT (Reversal) | 12170.00   | -25.00     | Reversed to SHORT
13    | 2026-01-02 12:27:00  | ENTER SHORT     | 12170.00   | 0.00       | Reversal Entry (Close 12170 < VWAP 12190.84)
13    | 2026-01-02 12:33:00  | EXIT (Reversal) | 12196.00   | -26.00     | Reversed to LONG
14    | 2026-01-02 12:33:00  | ENTER LONG      | 12196.00   | 0.00       | Reversal Entry (Close 12196 > VWAP 12190.88)
14    | 2026-01-02 12:36:00  | EXIT (SL)       | 12172.00   | -24.00     | SL Hit (Close 12172 <= SL 12179.00)
15    | 2026-01-02 12:36:00  | ENTER SHORT     | 12172.00   | 0.00       | SL Reversal Entry
15    | 2026-01-02 14:06:00  | EXIT (SL)       | 12138.00   | 34.00      | SL Hit (Close 12138 >= SL 12130.33)
16    | 2026-01-02 14:06:00  | ENTER LONG      | 12138.00   | 0.00       | SL Reversal Entry
16    | 2026-01-02 14:09:00  | EXIT (Reversal) | 12122.00   | -16.00     | Reversed to SHORT
17    | 2026-01-02 14:09:00  | ENTER SHORT     | 12122.00   | 0.00       | Reversal Entry (Close 12122 < VWAP 12130.34)
17    | 2026-01-02 14:12:00  | EXIT (Reversal) | 12145.00   | -23.00     | Reversed to LONG
18    | 2026-01-02 14:12:00  | ENTER LONG      | 12145.00   | 0.00       | Reversal Entry (Close 12145 > VWAP 12130.47)
18    | 2026-01-02 14:15:00  | EXIT (Reversal) | 12129.00   | -16.00     | Reversed to SHORT
19    | 2026-01-02 14:15:00  | ENTER SHORT     | 12129.00   | 0.00       | Reversal Entry (Close 12129 < VWAP 12130.50)
19    | 2026-01-02 14:21:00  | EXIT (Reversal) | 12132.00   | -3.00      | Reversed to LONG
20    | 2026-01-02 14:21:00  | ENTER LONG      | 12132.00   | 0.00       | Reversal Entry (Close 12132 > VWAP 12130.50)
20    | 2026-01-02 15:00:00  | EXIT (Square Off) | 12215.00   | 83.00      | Auto Square Off at 15:00:00
21    | 2026-01-05 09:15:00  | ENTER SHORT     | 12203.00   | 0.00       | Fresh Entry (Close 12203 < VWAP 12216.33)
21    | 2026-01-05 09:18:00  | EXIT (Reversal) | 12245.00   | -42.00     | Reversed to LONG
22    | 2026-01-05 09:18:00  | ENTER LONG      | 12245.00   | 0.00       | Reversal Entry (Close 12245 > VWAP 12221.91)
22    | 2026-01-05 09:27:00  | EXIT (Reversal) | 12213.00   | -32.00     | Reversed to SHORT
23    | 2026-01-05 09:27:00  | ENTER SHORT     | 12213.00   | 0.00       | Reversal Entry (Close 12213 < VWAP 12232.30)
23    | 2026-01-05 10:12:00  | EXIT (SL)       | 12209.00   | 4.00       | SL Hit (Close 12209 >= SL 12193.91)
24    | 2026-01-05 10:12:00  | ENTER LONG      | 12209.00   | 0.00       | SL Reversal Entry
24    | 2026-01-05 10:15:00  | EXIT (Reversal) | 12184.00   | -25.00     | Reversed to SHORT
25    | 2026-01-05 10:15:00  | ENTER SHORT     | 12184.00   | 0.00       | Reversal Entry (Close 12184 < VWAP 12193.97)
25    | 2026-01-05 10:21:00  | EXIT (Reversal) | 12195.00   | -11.00     | Reversed to LONG
26    | 2026-01-05 10:21:00  | ENTER LONG      | 12195.00   | 0.00       | Reversal Entry (Close 12195 > VWAP 12193.64)
26    | 2026-01-05 10:36:00  | EXIT (Reversal) | 12176.00   | -19.00     | Reversed to SHORT
27    | 2026-01-05 10:36:00  | ENTER SHORT     | 12176.00   | 0.00       | Reversal Entry (Close 12176 < VWAP 12195.91)
