Fetching data for NSE:DIXON-EQ from Oct 1, 2025 to Nov 30, 2025...
Fetching 2025-10-01 to 2025-10-31...
  Fetched 2521 candles.
Fetching 2025-11-01 to 2025-11-30...
  Fetched 2375 candles.
Total Fetched Candles: 4896

--- TRADES ---
ID    | Time                 | Action          | Price      | PnL        | Notes
1     | 2025-10-01 09:18:00  | ENTER LONG      | 16542.00   | 0.00       | Fresh Entry (Close 16542 > VWAP 16534.33)
1     | 2025-10-01 09:21:00  | EXIT (Reversal) | 16510.00   | -32.00     | Reversed to SHORT
2     | 2025-10-01 09:21:00  | ENTER SHORT     | 16510.00   | 0.00       | Reversal Entry (Close 16510 < VWAP 16533.32)
2     | 2025-10-01 09:24:00  | EXIT (Reversal) | 16544.00   | -34.00     | Reversed to LONG
3     | 2025-10-01 09:24:00  | ENTER LONG      | 16544.00   | 0.00       | Reversal Entry (Close 16544 > VWAP 16533.29)
3     | 2025-10-01 09:39:00  | EXIT (Reversal) | 16552.00   | 8.00       | Reversed to SHORT
4     | 2025-10-01 09:39:00  | ENTER SHORT     | 16552.00   | 0.00       | Reversal Entry (Close 16552 < VWAP 16561.15)
4     | 2025-10-01 14:51:00  | EXIT (SL)       | 16475.00   | 77.00      | SL Hit (Close 16475 >= SL 16468.76)
5     | 2025-10-01 14:51:00  | ENTER LONG      | 16475.00   | 0.00       | SL Reversal Entry
5     | 2025-10-01 14:54:00  | EXIT (Reversal) | 16458.00   | -17.00     | Reversed to SHORT
6     | 2025-10-01 14:54:00  | ENTER SHORT     | 16458.00   | 0.00       | Reversal Entry (Close 16458 < VWAP 16468.61)
6     | 2025-10-01 15:00:00  | EXIT (Square Off) | 16448.00   | 10.00      | Auto Square Off at 15:00:00
7     | 2025-10-03 09:15:00  | ENTER SHORT     | 16457.00   | 0.00       | Fresh Entry (Close 16457 < VWAP 16461.00)
7     | 2025-10-03 09:18:00  | EXIT (SL)       | 16598.00   | -141.00    | SL Hit (Close 16598 >= SL 16533.00)
8     | 2025-10-03 09:18:00  | ENTER LONG      | 16598.00   | 0.00       | SL Reversal Entry
8     | 2025-10-03 10:00:00  | EXIT (SL)       | 16537.00   | -61.00     | SL Hit (Close 16537 <= SL 16540.37)
9     | 2025-10-03 10:00:00  | ENTER SHORT     | 16537.00   | 0.00       | SL Reversal Entry
9     | 2025-10-03 10:18:00  | EXIT (SL)       | 16540.00   | -3.00      | SL Hit (Close 16540 >= SL 16535.77)
10    | 2025-10-03 10:18:00  | ENTER LONG      | 16540.00   | 0.00       | SL Reversal Entry
10    | 2025-10-03 10:30:00  | EXIT (Reversal) | 16536.00   | -4.00      | Reversed to SHORT
11    | 2025-10-03 10:30:00  | ENTER SHORT     | 16536.00   | 0.00       | Reversal Entry (Close 16536 < VWAP 16536.32)
11    | 2025-10-03 10:36:00  | EXIT (Reversal) | 16545.00   | -9.00      | Reversed to LONG
12    | 2025-10-03 10:36:00  | ENTER LONG      | 16545.00   | 0.00       | Reversal Entry (Close 16545 > VWAP 16536.33)
12    | 2025-10-03 10:45:00  | EXIT (SL)       | 16526.00   | -19.00     | SL Hit (Close 16526 <= SL 16529.00)
13    | 2025-10-03 10:45:00  | ENTER SHORT     | 16526.00   | 0.00       | SL Reversal Entry
13    | 2025-10-03 10:51:00  | EXIT (Reversal) | 16540.00   | -14.00     | Reversed to LONG
14    | 2025-10-03 10:51:00  | ENTER LONG      | 16540.00   | 0.00       | Reversal Entry (Close 16540 > VWAP 16539.24)
14    | 2025-10-03 11:15:00  | EXIT (SL)       | 16522.00   | -18.00     | SL Hit (Close 16522 <= SL 16539.52)
15    | 2025-10-03 11:15:00  | ENTER SHORT     | 16522.00   | 0.00       | SL Reversal Entry
15    | 2025-10-03 14:18:00  | EXIT (SL)       | 16535.00   | -13.00     | SL Hit (Close 16535 >= SL 16525.95)
16    | 2025-10-03 14:18:00  | ENTER LONG      | 16535.00   | 0.00       | SL Reversal Entry
16    | 2025-10-03 15:00:00  | EXIT (Square Off) | 16565.00   | 30.00      | Auto Square Off at 15:00:00
17    | 2025-10-06 09:15:00  | ENTER LONG      | 16651.00   | 0.00       | Fresh Entry (Close 16651 > VWAP 16636.00)
17    | 2025-10-06 09:18:00  | EXIT (Reversal) | 16613.00   | -38.00     | Reversed to SHORT
18    | 2025-10-06 09:18:00  | ENTER SHORT     | 16613.00   | 0.00       | Reversal Entry (Close 16613 < VWAP 16633.41)
18    | 2025-10-06 09:21:00  | EXIT (Reversal) | 16636.00   | -23.00     | Reversed to LONG
19    | 2025-10-06 09:21:00  | ENTER LONG      | 16636.00   | 0.00       | Reversal Entry (Close 16636 > VWAP 16629.47)
19    | 2025-10-06 09:24:00  | EXIT (Reversal) | 16616.00   | -20.00     | Reversed to SHORT
20    | 2025-10-06 09:24:00  | ENTER SHORT     | 16616.00   | 0.00       | Reversal Entry (Close 16616 < VWAP 16628.99)
20    | 2025-10-06 09:48:00  | EXIT (SL)       | 16612.00   | 4.00       | SL Hit (Close 16612 >= SL 16609.92)
21    | 2025-10-06 09:48:00  | ENTER LONG      | 16612.00   | 0.00       | SL Reversal Entry
21    | 2025-10-06 09:51:00  | EXIT (Reversal) | 16602.00   | -10.00     | Reversed to SHORT
22    | 2025-10-06 09:51:00  | ENTER SHORT     | 16602.00   | 0.00       | Reversal Entry (Close 16602 < VWAP 16609.44)
22    | 2025-10-06 09:57:00  | EXIT (SL)       | 16630.00   | -28.00     | SL Hit (Close 16630 >= SL 16616.00)
23    | 2025-10-06 09:57:00  | ENTER LONG      | 16630.00   | 0.00       | SL Reversal Entry
23    | 2025-10-06 10:15:00  | EXIT (SL)       | 16607.00   | -23.00     | SL Hit (Close 16607 <= SL 16611.17)
24    | 2025-10-06 10:15:00  | ENTER SHORT     | 16607.00   | 0.00       | SL Reversal Entry
24    | 2025-10-06 10:54:00  | EXIT (SL)       | 16615.00   | -8.00      | SL Hit (Close 16615 >= SL 16610.12)
25    | 2025-10-06 10:54:00  | ENTER LONG      | 16615.00   | 0.00       | SL Reversal Entry
25    | 2025-10-06 11:03:00  | EXIT (SL)       | 16600.00   | -15.00     | SL Hit (Close 16600 <= SL 16603.00)
26    | 2025-10-06 11:03:00  | ENTER SHORT     | 16600.00   | 0.00       | SL Reversal Entry
26    | 2025-10-06 11:42:00  | EXIT (SL)       | 16720.00   | -120.00    | SL Hit (Close 16720 >= SL 16608.42)
27    | 2025-10-06 11:42:00  | ENTER LONG      | 16720.00   | 0.00       | SL Reversal Entry
27    | 2025-10-06 15:00:00  | EXIT (Square Off) | 17046.00   | 326.00     | Auto Square Off at 15:00:00
28    | 2025-10-07 09:15:00  | ENTER SHORT     | 16942.00   | 0.00       | Fresh Entry (Close 16942 < VWAP 16981.67)
28    | 2025-10-07 09:21:00  | EXIT (Reversal) | 17030.00   | -88.00     | Reversed to LONG
29    | 2025-10-07 09:21:00  | ENTER LONG      | 17030.00   | 0.00       | Reversal Entry (Close 17030 > VWAP 16974.55)
29    | 2025-10-07 15:00:00  | EXIT (Square Off) | 17241.00   | 211.00     | Auto Square Off at 15:00:00
30    | 2025-10-08 09:15:00  | ENTER SHORT     | 17205.00   | 0.00       | Fresh Entry (Close 17205 < VWAP 17225.00)
30    | 2025-10-08 13:33:00  | EXIT (SL)       | 17096.00   | 109.00     | SL Hit (Close 17096 >= SL 17095.23)
31    | 2025-10-08 13:33:00  | ENTER LONG      | 17096.00   | 0.00       | SL Reversal Entry
31    | 2025-10-08 13:39:00  | EXIT (SL)       | 17065.00   | -31.00     | SL Hit (Close 17065 <= SL 17083.00)
32    | 2025-10-08 13:39:00  | ENTER SHORT     | 17065.00   | 0.00       | SL Reversal Entry
32    | 2025-10-08 15:00:00  | EXIT (Square Off) | 16875.00   | 190.00     | Auto Square Off at 15:00:00
33    | 2025-10-09 09:15:00  | ENTER LONG      | 16968.00   | 0.00       | Fresh Entry (Close 16968 > VWAP 16946.67)
33    | 2025-10-09 09:24:00  | EXIT (Reversal) | 16925.00   | -43.00     | Reversed to SHORT
34    | 2025-10-09 09:24:00  | ENTER SHORT     | 16925.00   | 0.00       | Reversal Entry (Close 16925 < VWAP 16953.71)
34    | 2025-10-09 09:39:00  | EXIT (Reversal) | 16945.00   | -20.00     | Reversed to LONG
